numTreatments,instCode,journals,dois,country,name,type,country_name,region
466,MNHN,Deutsche Entomologische Zeitschrift;ZooKeys;Zoosystematics and Evolution;Journal of Hymenoptera Research;MycoKeys,10.3897/dez.65.26693;10.3897/zookeys.837.32057;10.3897/zookeys.824.31635;10.3897/zookeys.821.29019;10.3897/zse.95.32818;10.3897/zse.93.10802;10.3897/zse.92.9945;10.3897/zookeys.811.29187;10.3897/zookeys.803.28124;10.3897/zookeys.802.26622;10.3897/zookeys.800.26292;10.3897/zookeys.796.22517;10.3897/jhr.55.12209;10.3897/jhr.64.25453;10.3897/jhr.68.30131;10.3897/zookeys.788.26325;10.3897/zookeys.786.28270;10.3897/zookeys.782.27938;10.3897/zookeys.768.24423;10.3897/zookeys.764.25108;10.3897/zookeys.760.24837;10.3897/zookeys.752.23712;10.3897/zookeys.747.24351;10.3897/zookeys.740.21729;10.3897/zookeys.740.20458;10.3897/zookeys.699.12031;10.3897/zookeys.870.36970;10.3897/zookeys.848.32263;10.3897/zookeys.539.6664;10.3897/zookeys.547.9698;10.3897/zookeys.803.28903;10.3897/zookeys.697.13381;10.3897/zookeys.668.11347;10.3897/zookeys.899.47070;10.3897/zookeys.917.39270;10.3897/mycokeys.67.51811;10.3897/zookeys.545.6111;10.3897/zookeys.572.7177;10.3897/zookeys.594.8768;10.3897/zookeys.935.51931;10.3897/zookeys.963.54714;10.3897/zookeys.680.11162;10.3897/zookeys.679.12547;10.3897/zookeys.677.12435;10.3897/zookeys.648.10935;10.3897/zookeys.646.11397;10.3897/zookeys.635.9915;10.3897/zookeys.632.9652;10.3897/zookeys.619.10043;10.3897/zookeys.615.9179;10.3897/zookeys.980.54100;10.3897/zookeys.987.54234;10.3897/zookeys.1001.58447;10.3897/zookeys.600.9345;10.3897/zookeys.592.8118;10.3897/zookeys.578.7994;10.3897/zookeys.566.7344;10.3897/zookeys.566.6982;10.3897/zookeys.561.7137;10.3897/zookeys.554.6120;10.3897/zookeys.554.6069;10.3897/zookeys.523.6066;10.3897/zookeys.1010.58759;10.3897/zookeys.1019.59881;10.3897/zookeys.1023.58733;10.3897/zookeys.1031.56035;10.3897/zookeys.1032.63905;10.3897/zookeys.1039.66493;10.3897/zookeys.838.28634;10.3897/zookeys.765.24395;10.3897/zse.93.10188;10.3897/zookeys.957.52565;10.3897/zookeys.984.53587;10.3897/zookeys.997.52857,FR,Museum National d'Histoire Naturelle,,France,GN
101,NHRS,Deutsche Entomologische Zeitschrift;Journal of Hymenoptera Research;ZooKeys,10.3897/dez.65.26693;10.3897/jhr.72.38908;10.3897/zookeys.718.21151;10.3897/zookeys.530.6047;10.3897/zookeys.963.53470;10.3897/zookeys.677.12435;10.3897/zookeys.632.10483;10.3897/zookeys.984.53587;10.3897/zookeys.604.9049;10.3897/jhr.72.39339,SE,"Swedish Museum of Natural History, Entomology Collections",,Sweden,GN
83,MSNG,Deutsche Entomologische Zeitschrift;Journal of Hymenoptera Research;ZooKeys,10.3897/dez.65.26693;10.3897/jhr.71.35754;10.3897/zookeys.524.5990;10.3897/zookeys.651.10336;10.3897/zookeys.547.9375;10.3897/zookeys.572.7177;10.3897/zookeys.680.12135;10.3897/zookeys.679.11967;10.3897/zookeys.559.6281;10.3897/zookeys.553.5999;10.3897/zookeys.670.11839,IT,Museo Civico di Storia Naturale di Genova 'Giacomo Doria',,Italy,GN
42,MRT,Deutsche Entomologische Zeitschrift,10.3897/dez.65.26693,,,,,
111,RBINS,Deutsche Entomologische Zeitschrift;ZooKeys;Journal of Hymenoptera Research,10.3897/dez.65.26693;10.3897/zookeys.798.28107;10.3897/jhr.51.9830;10.3897/jhr.53.9902;10.3897/zookeys.743.22696;10.3897/zookeys.723.21817;10.3897/zookeys.870.36970;10.3897/zookeys.675.12453;10.3897/zookeys.592.8118;10.3897/zookeys.559.6281;10.3897/zookeys.1019.61496;10.3897/zookeys.1018.61033;10.3897/zookeys.1039.66493,BE,Royal Belgian Institute of Natural Sciences,MUSEUM,Belgium,GN
356,ANIC,Deutsche Entomologische Zeitschrift;ZooKeys;Journal of Hymenoptera Research,10.3897/dez.65.27424;10.3897/zookeys.830.32463;10.3897/zookeys.818.32061;10.3897/zookeys.805.28757;10.3897/jhr.57.12892;10.3897/jhr.64.24282;10.3897/jhr.64.25219;10.3897/jhr.73.38383;10.3897/zookeys.793.24790;10.3897/zookeys.517.10187;10.3897/zookeys.521.5995;10.3897/zookeys.718.21151;10.3897/zookeys.707.12649;10.3897/zookeys.695.19906;10.3897/zookeys.530.6047;10.3897/zookeys.541.6643;10.3897/zookeys.803.28903;10.3897/zookeys.700.11784;10.3897/zookeys.549.6939;10.3897/zookeys.556.6126;10.3897/zookeys.653.11177;10.3897/zookeys.638.10883;10.3897/zookeys.618.8059;10.3897/zookeys.586.6774;10.3897/zookeys.582.7709,AU,Australian National Insect Collection,,Australia,GN
173,CUIC,Deutsche Entomologische Zeitschrift;Journal of Hymenoptera Research;ZooKeys,10.3897/dez.65.27424;10.3897/jhr.71.35754;10.3897/zookeys.537.6115;10.3897/zookeys.544.6074;10.3897/zookeys.611.9058;10.3897/zookeys.982.52363;10.3897/zookeys.566.7344;10.3897/zookeys.566.6982,US,Cornell University Insect Collection,UNIVERSITY_COLLEGE,United States,GN
165,FMNH,Deutsche Entomologische Zeitschrift;ZooKeys;Subterranean Biology;Zoosystematics and Evolution,10.3897/dez.65.27424;10.3897/dez.66.38022;10.3897/zookeys.882.35532;10.3897/subtbiol.26.25605;10.3897/zookeys.863.34662;10.3897/zookeys.854.35133;10.3897/zookeys.846.33200;10.3897/zookeys.695.19906;10.3897/zookeys.688.19867;10.3897/zookeys.537.6115;10.3897/zookeys.685.13811;10.3897/zookeys.640.9690;10.3897/zookeys.663.11320;10.3897/zookeys.632.10483;10.3897/zookeys.1001.58447;10.3897/zookeys.572.7823;10.3897/zookeys.557.7087;10.3897/zse.97.59143;10.3897/zookeys.1030.62544;10.3897/zookeys.639.10893,US,Field Museum of Natural History,MUSEUM,United States,GN
328,MCZ,Deutsche Entomologische Zeitschrift;Zoosystematics and Evolution;ZooKeys;Journal of Hymenoptera Research,10.3897/dez.65.27424;10.3897/dez.66.38022;10.3897/zse.95.34958;10.3897/zookeys.891.38563;10.3897/jhr.53.9902;10.3897/zookeys.766.24523;10.3897/zookeys.737.20639;10.3897/zse.95.33880;10.3897/zookeys.857.34938;10.3897/zookeys.840.33878;10.3897/zookeys.700.11784;10.3897/zookeys.646.10787;10.3897/zookeys.625.9891;10.3897/zookeys.674.11435;10.3897/zookeys.639.10893;10.3897/zookeys.618.9692;10.3897/zookeys.979.56863;10.3897/zookeys.586.6774;10.3897/zookeys.562.6052;10.3897/zookeys.1007.60012;10.3897/zookeys.1027.54888;10.3897/zookeys.1031.59102;10.3897/zse.97.61351;10.3897/zookeys.767.21105;10.3897/zookeys.670.11839,US,"Harvard University, Museum of Comparative Zoology",MUSEUM,United States,GN
1,QMB,Deutsche Entomologische Zeitschrift,10.3897/dez.65.27424,,,,,
43,EMUS,Deutsche Entomologische Zeitschrift;Journal of Hymenoptera Research;ZooKeys,10.3897/dez.66.34683;10.3897/jhr.68.30131;10.3897/jhr.55.11452;10.3897/jhr.55.5322;10.3897/zookeys.990.55542,,,,,
303,CAS,Deutsche Entomologische Zeitschrift;ZooKeys;Journal of Hymenoptera Research;PhytoKeys;Zoosystematics and Evolution,10.3897/dez.66.38022;10.3897/zookeys.838.30910;10.3897/zookeys.835.27528;10.3897/zookeys.896.36493;10.3897/jhr.64.25453;10.3897/jhr.73.33876;10.3897/zookeys.786.28421;10.3897/zookeys.786.27382;10.3897/zookeys.780.25859;10.3897/phytokeys.74.10159;10.3897/phytokeys.69.9466;10.3897/zookeys.521.5995;10.3897/zookeys.755.23939;10.3897/zookeys.730.21846;10.3897/zookeys.727.20222;10.3897/zookeys.710.14902;10.3897/zookeys.867.36139;10.3897/zookeys.863.33778;10.3897/zookeys.851.31802;10.3897/zookeys.848.32263;10.3897/zookeys.526.6037;10.3897/zookeys.528.6001;10.3897/dez.63.6615;10.3897/zookeys.536.5982;10.3897/zookeys.544.6074;10.3897/zookeys.632.10576;10.3897/zookeys.944.49921;10.3897/zookeys.680.11162;10.3897/zookeys.675.12061;10.3897/zookeys.674.11435;10.3897/zookeys.626.10033;10.3897/zookeys.614.10200;10.3897/zookeys.614.6156;10.3897/zookeys.989.57087;10.3897/zookeys.987.55317;10.3897/zookeys.606.8590;10.3897/zookeys.605.8060;10.3897/zookeys.586.7832;10.3897/zookeys.568.7125;10.3897/zookeys.562.6124;10.3897/zookeys.561.7263;10.3897/zookeys.1007.60012;10.3897/zookeys.1009.61515;10.3897/zse.97.61351;10.3897/zookeys.1034.60411;10.3897/phytokeys.94.21553;10.3897/zookeys.734.21153;10.3897/zookeys.914.46652;10.3897/phytokeys.161.53010;10.3897/jhr.79.55832,US,California Academy of Sciences,MUSEUM,United States,GN
92,EMEC,Deutsche Entomologische Zeitschrift;ZooKeys;Journal of Hymenoptera Research,10.3897/dez.66.38022;10.3897/zookeys.803.28124;10.3897/jhr.54.10457;10.3897/jhr.55.12209;10.3897/zookeys.765.24144;10.3897/zookeys.755.23939;10.3897/zookeys.863.33183;10.3897/zookeys.528.6001;10.3897/zookeys.674.11435;10.3897/zookeys.646.11411;10.3897/jhr.76.48004;10.3897/zookeys.1007.60012,US,Essig Museum of Entomology,UNIVERSITY_COLLEGE,United States,GN
103,CMNH,Deutsche Entomologische Zeitschrift;ZooKeys;Journal of Hymenoptera Research,10.3897/dez.66.38022;10.3897/zookeys.893.47059;10.3897/jhr.71.35754;10.3897/zookeys.690.13751;10.3897/zookeys.660.11228;10.3897/zookeys.648.10935;10.3897/zookeys.626.10033;10.3897/zookeys.611.9058;10.3897/zookeys.982.52363;10.3897/zookeys.532.6587;10.3897/zookeys.566.6982;10.3897/zookeys.533.6004;10.3897/zookeys.1016.61397;10.3897/zookeys.1040.62309,,,,,
11,NDSU,Deutsche Entomologische Zeitschrift,10.3897/dez.66.38022,US,North Dakota State University,,United States,GN
47,OSAC,Deutsche Entomologische Zeitschrift;ZooKeys,10.3897/dez.66.38022;10.3897/zookeys.788.26282;10.3897/zookeys.788.26480;10.3897/zookeys.625.9891;10.3897/zookeys.1007.60012,US,Oregon State Arthropod Collection,UNIVERSITY_COLLEGE,United States,GN
