numTreatments,instCode,name,type,journals,dois,country,country_name,region
4,NTM,Northern Territory Museum of Arts and Sciences,,ZooKeys,10.3897/zookeys.1012.57172,AU,Australia,GN
4,LIV,,,ZooKeys,10.3897/zookeys.1023.53404,,,
4,DMNS,Denver Museum of Nature & Science,MUSEUM,ZooKeys,10.3897/zookeys.1027.54888,US,United States,GN
4,KIZCAS,,,ZooKeys,10.3897/zookeys.1028.61018,,,
4,CCTCC,China Center for Type Culture Collection,,MycoKeys,10.3897/mycokeys.80.64624,CN,China,GS
4,SRBC,,,Deutsche Entomologische Zeitschrift,10.3897/dez.65.26261,,,
4,CCB,"Central College, Bangalore",,ZooKeys,10.3897/zookeys.838.33086,IO,British Indian Ocean Territory,GS
4,NCHUZOOL,,,ZooKeys,10.3897/zookeys.817.29332;10.3897/zookeys.747.23468,,,
4,FAFU,,,ZooKeys;Journal of Hymenoptera Research,10.3897/zookeys.881.34646;10.3897/JHR.46.5155,,,
4,GSFPM,,,Journal of Hymenoptera Research;ZooKeys,10.3897/JHR.46.5763;10.3897/zookeys.537.6592;10.3897/zookeys.678.12397;10.3897/zookeys.663.11874,,,
4,LES,Leeds Museums and Galleries,MUSEUM,ZooKeys,10.3897/zookeys.806.27404,GB,United Kingdom,GN
4,CNAN,,,ZooKeys,10.3897/zookeys.802.28445;10.3897/zookeys.1027.54888,,,
4,RLFF,,,ZooKeys,10.3897/zookeys.796.22517,,,
4,SMTP,,,Journal of Hymenoptera Research,10.3897/jhr.67.28810,,,
4,LGC,,,ZooKeys,10.3897/zookeys.788.26068;10.3897/zookeys.788.26480;10.3897/zookeys.527.9771,,,
4,DEBC,,,ZooKeys,10.3897/zookeys.788.26885,,,
4,JDPC,,,ZooKeys,10.3897/zookeys.788.26885,,,
4,RBNC,,,ZooKeys,10.3897/zookeys.788.26885,,,
4,MNKM,,,ZooKeys,10.3897/zookeys.770.24281;10.3897/zookeys.736.21628;10.3897/zookeys.637.11001,,,
4,CWBS,,,ZooKeys,10.3897/zookeys.765.24366,,,
4,University of Texas,,,PhytoKeys,10.3897/phytokeys.64.6864,,,
4,Universidad Nacional Mayor de San Marcos,,,PhytoKeys,10.3897/phytokeys.64.6864,,,
4,Universidad Nacional,,,PhytoKeys,10.3897/phytokeys.64.6864,,,
4,IBGAS,,,ZooKeys,10.3897/zookeys.741.23223,,,
4,HBOI,,,ZooKeys,10.3897/zookeys.729.21779,,,
4,UNMSM,,,ZooKeys,10.3897/zookeys.714.15113;10.3897/zookeys.626.10033,,,
4,IESWU,,,ZooKeys,10.3897/zookeys.714.14041,,,
4,LI,Upper Austrian State Museum,HERBARIUM,PhytoKeys,10.3897/phytokeys.134.37979,AT,Austria,GN
4,cHay,,,ZooKeys,10.3897/zookeys.664.11881,,,
4,JBCB,,,ZooKeys,10.3897/zookeys.553.6576,,,
4,PPI,National Pingtung University of Science and Technology,HERBARIUM,ZooKeys,10.3897/zookeys.565.6877,TW,Taiwan,GN
4,IPNA-CSIC,,,Subterranean Biology,10.3897/subtbiol.35.52583;10.3897/subtbiol.34.50231;10.3897/subtbiol.38.61733,,,
4,MM,University of Montpellier,,ZooKeys,10.3897/zookeys.572.6763;10.3897/zookeys.636.10592,FR,France,GN
4,PSWC,,,ZooKeys,10.3897/zookeys.572.7177;10.3897/zookeys.616.9532,,,
4,IBER,,,ZooKeys,10.3897/zookeys.577.7301,,,
4,KAU,,,ZooKeys,10.3897/zookeys.597.7520,,,
4,JBC,Francisco Javier Clavijero Botanic Garden,,ZooKeys,10.3897/zookeys.597.7520,MX,Mexico,GS
4,MRACT,,,ZooKeys,10.3897/zookeys.901.39432,,,
4,HOWP,,,ZooKeys,10.3897/zookeys.933.48771,,,
4,UFTC,,,ZooKeys,10.3897/zookeys.963.55843;10.3897/zookeys.1000.59219,,,
4,CNIABM,,,ZooKeys,10.3897/zookeys.667.6080,,,
4,KYUN,,,ZooKeys,10.3897/zookeys.651.11235,,,
4,NMNL,Natuurmuseum Nijmegen e.o.,HERBARIUM,ZooKeys,10.3897/zookeys.974.54794,NL,Netherlands,GN
4,Smithsonian Institution,,,ZooKeys,10.3897/zookeys.635.10535;10.3897/zookeys.623.10018,,,
4,Agriculture and Agri-Food Canada,,,ZooKeys,10.3897/zookeys.629.10121,,,
4,South China Agricultural University(SCAU),,,ZooKeys,10.3897/zookeys.625.9846;10.3897/zookeys.564.6819,,,
